PROLIFIC_PID,bonus
5a5da588f6c51700019527c4,2.00
55aeb059fdf99b5dac7fa5f5,2.00
629534afc0924e49e1464589,2.00
62fd0bc538d70b87550691f7,2.00
5977e3867412f8000194e1fe,2.00
58d92a1531506e0001447dd9,2.00
63155246b877fe1cc4764511,2.00
62c9bf590412b579266d4477,2.00
5adeb4e9f6b58c0001fa70aa,2.00
63197fd7937a764ff92e0fea,2.00
5dc50289718e6d39756e99f9,2.00
5c281f7170d93a0001211396,2.00
580d5d1f357e890001dd14ce,2.00
62cf2192b9212fc96a5b3917,2.00
5f3d6975ef131710ed519c7a,2.00
5f084a7987a3fe028ff65b8a,2.00
5fbb445fed317dc4907cfad4,2.00
6313f4ebb6eb359b0650a088,2.00
614dee533a453a96facba70b,2.00
5f13b19f870c8b3cccba516a,2.00
60a717d4240ef9af015a6258,2.00
62c2f70f10a2a5cf48c9ab2f,2.00
5cba1809102bd400130c19e7,2.00
62c77cfab055de8fb5c8b79b,2.00
62a5afd2d2d51445953e979f,2.00
60ff58193efb06dddc0ccb75,2.00
5b666901f7798c000182c01c,2.00
5dd9df0e946f7c97406a55ea,2.00
5f9fb315ae6f085ff96c0cac,2.00
5d9f625aadd8690015e87c76,2.00
628f83dc5398c04bac86f9e6,2.00
5ea120ed66031912aea618ae,2.00
610cd5f2b38b2d1bffe55477,2.00
5e6cade3d92ffb26677dbd84,2.00
62eb212ff1cacbcc02b734ca,2.00
586bd8faa205a90001e7e8ac,2.00
5bfd81fb2feab400014d9060,2.00
5d42486206811e001ada5b4b,2.00
5ee2d96eac3291203650f16e,2.00
5bb7d8139b5f7e0001d43a6c,2.00
606e4eb2a56685e5593304cd,2.00
58cc6e1293dac30001d4abc6,2.00
5e836a3c2598d409928dae31,2.00
5b7cbe9db630cf000125dffe,2.00
60fbed5d2532f7768e7b5a29,2.00
615f2b3f0eafbabe579b889a,2.00
6091ebb375f9f6e9e1acaef8,2.00
568c67547374ad000cc7448c,2.00
56ab103610b779000bcb4cb5,2.00
6308ff465d70c60ec0196df7,2.00
576704bffdff7a0001c12890,2.00
610ad34844dd2b51bf5d87f5,2.00
5ba064c10d4416000157a224,2.00
62b1ed31eaaaa61b18c69032,2.00
5c748b9188fdc20017c60436,2.00
62961c550afbc1e11a77a4f4,2.00
62f406ea9d51a0dd13658afd,2.00
5f4af15a0add63150e16e55a,2.00
6026d1eca0c0d1400dcfbbd6,2.00
580a494da38f4a00012ebfdc,2.00
5f68cc35f5d6dd0443562571,2.00
62a0e1cae57335ec1e5bea37,2.00
627a949111093bf6cf062f93,2.00
5c7cf8b58ca9000001b52f6e,2.00
610058f21b82dddf45b44009,2.00
62952c60095ebfbdca7ec2ac,2.00
5ee264fd75927e71d7a6bd5c,2.00
56333f762840d2000a22e4a3,2.00
610ec31b33de16c5167f3062,2.00
62eaf0f49c1eca5518e58177,2.00
600e661d49a93a6ec48ebb45,2.00
61fa945e5719bc09cb834f15,2.00
62def1c5c4b07b0d8f876bd6,2.00
616f0db947219764c0ee33b7,2.00
5f30f00fa638c95749c79af9,2.00
5e9ce0a46976671ceda6082a,2.00
5e55c629171aa20a11be18ea,2.00
58ae59babb9e0f0001acb414,2.00
630a8feaa8eef385f72dc1a5,2.00
62c2f317234b9ce70f6d3578,2.00
5fb97228ff45687f38da7813,2.00
5f9057735c69b00e72665f84,2.00
5b2867d65b5c0900018adf1c,2.00
5db75a2044b77e000b92456a,2.00
