"","author","text"
"1","FoxNews","['Fox News', '@FoxNews', '·', 'King Charles III surrenders hereditary revenues in return for sovereign grant funding official duties', 'foxbusiness.com', 'King Charles III surrenders hereditary revenues in return for sovereign grant funding official...', ""King Charles III signed over the care and profits from his privately-owned Crown Estates to the national government in a ceremony at St. James's palace."", '1', '4', '21']"
"2","FoxNews","['Fox News', '@FoxNews', '·', ""Fetterman to hold campaign rally with Planned Parenthood, 'defund the police' activist on 9/11 anniversary"", 'foxnews.com', ""Fetterman to hold campaign rally with Planned Parenthood, 'defund the police' activist on 9/11..."", 'Pennsylvania Senate nominee John Fetterman will rally with Planned Parenthood Action Fund President Alexis McGill Johnson, who called to defund police, on the anniversary of 9/11.', '']"
"3","KaoticLeftist","['Jacqueline', '@KaoticLeftist', '·', 'Please tell me how any of this is legal for a state governor same with Abbott who keeps busing migrants to NYC.', 'Quote Tweet', 'Bill Melugin', '@BillFOXLA', ' · Sep 14', 'NEW: Florida Governor Ron DeSantis sent two planes full of migrants who crossed the border illegally to Martha’s Vineyard today. \nhttps://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard…', 'https://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard…', '4', '7', '30']"
"4","FoxNews","['U.S. Ministry of Truth replied', 'Fox News', '@FoxNews', '·', ""Prince Harry and Meghan's kids get royal titles, but they still want more, royal expert says"", 'foxnews.com', ""King Charles III agreed to give Prince Harry and Meghan Markle's kids prince and princess titles, a royal expert told Fox News Digital. Archie and Lilibet will not have HRH titles."", '62', '24', '92']"
"5","ChristinaPushaw","['George Alexopoulos liked', 'Christina Pushaw  ', '@ChristinaPushaw', '·', 'Martha’s Vineyard residents should be thrilled about this. They vote for sanctuary cities — they get a sanctuary city of their own. And illegal aliens will increase the town’s diversity, which is strength. Right? \n\n https://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard… #FoxNews', 'https://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard…', 'foxnews.com', ""Ron DeSantis sends two planes of illegal immigrants to Martha's Vineyard"", 'Florida Republican Gov. Ron DeSantis sent two planes carrying illegal immigrants to Martha’s Vineyard, Massachusetts, on Wednesday, his office has confirmed.', '2,143', '3,979', '17.8K']"
"6","ChristinaPushaw","['George Alexopoulos liked', 'Christina Pushaw  ', '@ChristinaPushaw', '·', 'Martha’s Vineyard residents should be thrilled about this. They vote for sanctuary cities — they get a sanctuary city of their own. And illegal aliens will increase the town’s diversity, which is strength. Right? \n\n https://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard… #FoxNews', 'https://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard…', 'foxnews.com', ""Ron DeSantis sends two planes of illegal immigrants to Martha's Vineyard"", 'Florida Republican Gov. Ron DeSantis sent two planes carrying illegal immigrants to Martha’s Vineyard, Massachusetts, on Wednesday, his office has confirmed.', '2,143', '3,981', '17.8K']"
"7","BillFOXLA","['Brick Suit and Tomi Lahren liked', 'Bill Melugin', '@BillFOXLA', '·', 'NEW: Florida Governor Ron DeSantis sent two planes full of migrants who crossed the border illegally to Martha’s Vineyard today.', 'foxnews.com', ""Ron DeSantis sends two planes of illegal immigrants to Martha's Vineyard"", 'Florida Republican Gov. Ron DeSantis sent two planes carrying illegal immigrants to Martha’s Vineyard, Massachusetts, on Wednesday, his office has confirmed.', '2,717', '4,162', '17.9K']"
"8","TomiLahren","['Tomi Lahren', '@TomiLahren', '·', 'Rabid and violent protesters @UNM are now getting violent outside my speech. The university is doing nothing. If someone gets hurt here, you are responsible! Shame on you!', '@UNM', '', '2']"
"9","TomiLahren","['Tomi Lahren', '@TomiLahren', '·', 'New Mexico police are now dispatched to my speech to deal with these violent and abhorrent protesters. Over speech you don’t like? Freakin disgusting.', '22', '24', '149']"
"10","BobbyBigWheel","['Aaron (the Give Smart guy) Retweeted', 'Aaron (the Give Smart guy)', 'Ariel Edwards-Levy', '@aedwardslevy', '·', 'This chart feels like a pretty good precis on where issue ownership stands heading into the GE (including bigger GOP advantages on crime/border than inflation, significant Dem lead on abortion) \n\nhttps://static.foxnews.com/foxnews.com/content/uploads/2022/09/Fox_September-9-12-2022_National_Topline_September-14-Release.pdf…', 'https://static.foxnews.com/foxnews.com/content/uploads/2022/09/Fox_September-9-12-2022_National_Topline_September-14-Release.pdf…', '3', '7']"
"11","AOC","['Alexandria Ocasio-Cortez', '@AOC', '·', 'I remember how folks stepped up to help Texans when you left them cold and hungry during the freeze.  \n\nWe will welcome these families too. They have so much to offer.\n\nYou do seem to be struggling at your job, though. Maybe you should consider if this is the right work for you.', 'Quote Tweet', 'Greg Abbott', '@GregAbbott_TX', 'Governor candidate, TX', ' · Sep 15', 'This morning, two Texas buses of migrants arrived at the Naval Observatory in DC.\n\nVP Harris claims our border is “secure” & denies the crisis.\n\nWe’re sending migrants to her backyard to call on the Biden Administration to do its job & secure the border. https://foxnews.com/politics/2-migrant-buses-arrive-vice-president-kamala-harris-naval-observatory-residence-dc.amp…', 'https://foxnews.com/politics/2-migrant-buses-arrive-vice-president-kamala-harris-naval-observatory-residence-dc.amp…', '4,279', '11.7K', '92K']"
"12","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', 'UPDATE: I found more of them', 'ur mom', '243', '119', '605']"
"13","AOC","['Derek Powazek and Greg Greene liked', 'Alexandria Ocasio-Cortez', '@AOC', '·', 'I remember how folks stepped up to help Texans when you left them cold and hungry during the freeze.  \n\nWe will welcome these families too. They have so much to offer.\n\nYou do seem to be struggling at your job, though. Maybe you should consider if this is the right work for you.', 'Quote Tweet', 'Greg Abbott', '@GregAbbott_TX', 'Governor candidate, TX', ' · Sep 15', 'This morning, two Texas buses of migrants arrived at the Naval Observatory in DC.\n\nVP Harris claims our border is “secure” & denies the crisis.\n\nWe’re sending migrants to her backyard to call on the Biden Administration to do its job & secure the border. https://foxnews.com/politics/2-migrant-buses-arrive-vice-president-kamala-harris-naval-observatory-residence-dc.amp…', 'https://foxnews.com/politics/2-migrant-buses-arrive-vice-president-kamala-harris-naval-observatory-residence-dc.amp…', '4,058', '11.1K', '88.1K']"
"14","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', 'The only Guatemalan in the video is a nervous servant', 'scorpio ass bitch', '308', '419', '2,472', 'Show this thread']"
"15","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', 'Boycott Hardees \n\nFilthy and disgusting. Incredibly disloyal', 'Quote Tweet', 'Hardee’s', '@Hardees', ' · Sep 14', 'If you still have a phone, get a free breakfast biscuit in our app for My Rewards members: http://hardees-appinstall.onelink.me/5kyB/f2f1b9b9', 'http://hardees-appinstall.onelink.me/5kyB/f2f1b9b9', '179', '328', '1,540']"
"16","JackPosobiec","['Brick Suit liked', 'Jack Posobiec ', '@JackPosobiec', '·', 'Why not cut funding to illegal immigrant support organizations at the state level?', '89', '348', '1,714']"
"17","GPrime85","['George Alexopoulos', '@GPrime85', '·', 'HHHHNNNNNGGGGGG', 'Quote Tweet', 'Christina Pushaw  ', '@ChristinaPushaw', ' · Sep 14', 'Martha’s Vineyard residents should be thrilled about this. They vote for sanctuary cities — they get a sanctuary city of their own. And illegal aliens will increase the town’s diversity, which is strength. Right? \n\n https://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard… #FoxNews', 'https://foxnews.com/politics/ron-desantis-sends-two-planes-illegal-immigrants-marthas-vineyard…', '#FoxNews', '10', '13', '324']"
"18","TomiLahren","['Tomi Lahren', '@TomiLahren', '·', 'If these Democrats won’t go to the border, bring it to them! Keep sending them. Spread the illegal immigrant love!!', '10', '31', '134']"
"19","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', 'Holy shlit', 'Quote Tweet', 'Emilie Ikeda', '@EmilieIkedaNBC', ' · 1h', 'HAPPENING NOW: Migrants, flown into Martha’s Vineyard by Fl’s governor, are boarding buses. They’ll be heading to Joint Base Cape Cod, according to officials. 125 Mass National Guard members are being activated to assist. @NBCNews', '@NBCNews', '430', '669', '2,347']"
"20","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', '6', '28', '125']"
"21","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', 'You bring up historic slavery while advocating for the sex slaves trafficked over the southern border every day. Women and children. Quite the take', 'Quote Tweet', 'Zekonos', '@Zekonos420', ' · 2m', 'Replying to @JackPosobiec', 'why, because the US constitution built a country with slaves while also proclaiming that ""god created all men equal"" as a refutation of monarchy?', '']"
"22","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', ""And those peoples migrated from Siberia\n\nYou can take this argument back tens of thousands of years it doesn't mean I'm about to tear up the US Constitution"", 'Quote Tweet', 'Ultra Extremist MAGA Dude', '@libsrsmelly', ' · 3m', 'Replying to @JackPosobiec', 'And the natives took it from someone else and so on and so forth.', '']"
"23","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', 'Remember when the head of the US military apologized to BLM for appearing with Trump?', '34', '165', '690']"
"24","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', 'At least you are honest about what the open borders project is trying to do\n\nSaying the quiet part out loud', 'Quote Tweet', 'Penaldo fan', '@AbsoluteChad239', ' · 6m', 'Replying to @JackPosobiec', 'Just like you took America from the natives, others will take it from you\n\nHow does the karma feel, Jack?', '', '2', '14']"
"25","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', 'I did not expect him to pull that out of his backpack. Get out of cities', 'Quote Tweet', 'World Latin Honey', '@WorldLatinHoney', ' · 15h', 'Another day in nyc', '10', '26', '104']"
"26","chelseaperetti","['Chelsea Peretti Retweeted', 'Chelsea Peretti', 'Alexandria Ocasio-Cortez', '@AOC', '·', 'I remember how folks stepped up to help Texans when you left them cold and hungry during the freeze.  \n\nWe will welcome these families too. They have so much to offer.\n\nYou do seem to be struggling at your job, though. Maybe you should consider if this is the right work for you.', 'Quote Tweet', 'Greg Abbott', '@GregAbbott_TX', 'Governor candidate, TX', ' · Sep 15', 'This morning, two Texas buses of migrants arrived at the Naval Observatory in DC.\n\nVP Harris claims our border is “secure” & denies the crisis.\n\nWe’re sending migrants to her backyard to call on the Biden Administration to do its job & secure the border. https://foxnews.com/politics/2-migrant-buses-arrive-vice-president-kamala-harris-naval-observatory-residence-dc.amp…', 'https://foxnews.com/politics/2-migrant-buses-arrive-vice-president-kamala-harris-naval-observatory-residence-dc.amp…', '6,029', '15.4K', '118.3K']"
"27","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', 'This guy says liberal groups are paying TikTok influencers to make anti-Trump J6 videos that lie to viewers', 'Quote Tweet', 'UM News', '@UltraMagaNews', ' · 12h', '#Breaking “Good Info Foundation” appears to be offering money to Viral Tiktok Lawyer to spread anti-Trump propaganda. \n\n@stengel FMR Obama SOS for Public Affairs 13-16 appears to be involved with the “Good Info Foundation” unclear if either are involved in the propaganda campaign', '#Breaking', '@stengel', 'Show this thread', '', '2']"
"28","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', '""Dems are the REAL RACISTS we HELP the illegals who come here!""\n\n- Old Right mindset \n\nNGMI', '3', '7', '70']"
"29","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', '“If foreigners were allowed to meddle with the affairs of a nation as soon as they settled down in its midst, many dangers might occur, since the foreigners not yet having the common good firmly at heart might attempt something hurtful to the people.”\n\n- Saint Thomas Aquinas', '']"
"30","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', 'Level 1:', ""Martha's Vineyard residents cheer as illegal immigrants are led to a bus to a military facility"", '169', '318', '793']"
"31","JackPosobiec","['Jack Posobiec ', '@JackPosobiec', '·', 'Level 2:', 'These illegals will never be deported and in fact are more likely to receive amnesty since no one wants to take this situation seriously', '14', '41', '223']"
"32","JackPosobiec","['Commander Xi Jinpilled and Mecha-ddafi  liked', 'Jack Posobiec ', '@JackPosobiec', '·', '424', '897', '3,459']"
