twitter_name	twitter_id	followers_count	type
cnnbrk	428333	54458386	media
nytimes	807095	42413852	media
cnn	759251	40852516	media
Reuters	1652541	20032035	media
FoxNews	1367531	18324367	media
WSJ	3108351	16198397	media
TIME	14293310	15589652	media
Forbes	91478624	15029493	media
ABC	28785486	13987236	media
washingtonpost	2467791	13130257	media
AP	51241574	13056706	media
HuffPost	14511951	11401075	media
TheOnion	14075928	11008156	media
BreakingNews	6017542	9226665	media
newyorker	14677919	8566716	media
cnni	2097571	8075824	media
npr	5392522	7624515	media
cbsnews	15012486	6542180	media
nbcnews	14173315	6286889	media
HarvardBiz	14800270	5375407	media
VanityFair	15279429	4827091	media
TODAYshow	7744592	4276350	media
USATODAY	15754281	3698234	media
politico	9300262	3697737	media
GMA	22650211	3600954	media
Newsweek	2884771	3304242	media
latimes	16664681	3297724	media
thehill	1917731	3163723	media
CNBC	20402945	3022745	media
nprpolitics	5741722	2771056	media
CNNPolitics	13850422	2709082	media
RT_com	64643056	2686653	media
businessinsider	20562637	2502427	media
msnbc	2836421	2264576	media
FortuneMagazine	25053299	2254010	media
PBS	12133382	2253463	media
nowthisnews	701725963	2116576	media
foxnewspolitics	16032925	2009694	media
ReutersBiz	15110357	1997687	media
VICE	23818581	1923176	media
cspan	15675138	1915343	media
nytimesworld	1877831	1895359	media
slate	15164565	1772586	media
nymag	45564482	1770604	media
CNNMoney	16184358	1732819	media
TheAtlantic	35773039	1732534	media
BW	67358777	1589738	media
VOANews	16273831	1574322	media
WSJbusiness	28140646	1472148	media
HuffPostPol	15458694	1428059	media
drudge_report	14669951	1407585	media
nypost	17469289	1405752	media
ABCWorldNews	86141342	1338166	media
foxandfriends	15513604	1316096	media
BuzzFeedNews	1020058453	1277374	media
AC360	227837742	1259079	media
thenation	1947301	1239421	media
Nightline	19740592	1222563	media
TheDailyBeast	16012783	1189899	media
yahoonews	7309052	1108440	media
chicagotribune	7313362	1061999	media
breitbartnews	457984599	1033323	media
ForeignPolicy	26792275	1021596	media
FiveThirtyEight	2303751216	1017494	media
NewsHour	14437914	993386	media
60Minutes	18812572	991705	media
Salon	16955991	983379	media
TheLastWord	182503471	981488	media
NBCNightlyNews	8839632	962656	media
vicenews	1630896181	917843	media
good	19621110	893791	media
MaddowBlog	91180720	885044	media
thinkprogress	55355654	840077	media
YahooFinance	19546277	831520	media
FoxBusiness	56413858	815278	media
nytimesbusiness	1754641	779967	media
voxdotcom	2347049341	777548	media
WSJecon	16334857	776668	media
ProPublica	14606079	763410	media
motherjones	18510860	752932	media
BostonGlobe	95431448	726677	media
ABCPolitics	16815644	709877	media
nytopinion	16686144	675259	media
TheFive	334053327	674851	media
theblaze	10774652	673667	media
ForeignAffairs	21114659	672642	media
democracynow	16935292	655193	media
TelemundoNews	152142811	650089	media
Politifact	8953122	628629	media
splinter_news	121817564	574027	media
MeetThePress	11856892	566700	media
Morning_Joe	254117355	564334	media
theintercept	2329066872	542170	media
business	104237736	534108	media
foxnewsalert	31540671	497765	media
CNNSitRoom	34310801	492543	media
WSJmarkets	28164923	492091	media
TheRoot	23995748	473899	media
NBCPolitics	11856032	469918	media
FaceTheNation	205392468	465440	media
ABC2020	16457400	454475	media
markets	69620713	446815	media
HuffPostGreen	45577446	443225	media
DailyCaller	39308549	441621	media
nytpolitics	14434063	439318	media
DatelineNBC	11856932	438785	media
USATODAYmoney	15764136	436500	media
foxnation	37764422	424639	media
blackvoices	13557972	410729	media
nytimesES	2975678883	406901	media
hardball	205864193	404788	media
CNNnewsroom	9567972	390377	media
amjoyshow	731132367058968576	386479	media
postpolitics	14345062	384494	media
WSJbreakingnews	23484039	380042	media
pewresearch	22642788	377779	media
RT_America	115754870	377299	media
HuffPostWomen	309978842	370381	media
mmfa	13493302	369121	media
NBCNewsBusiness	11856142	364333	media
qz	573918122	361490	media
ReutersLive	15108702	358910	media
rollcall	15922214	356549	media
CNBCnow	26574283	355798	media
AP_Politics	426802833	351596	media
TheYoungTurks	14957147	349180	media
CBSThisMorning	17134268	349110	media
WashTimes	14662354	345339	media
splcenter	65698096	341862	media
weeklystandard	17546958	333185	media
frontlinepbs	16016427	318940	media
Jezebel	8192222	318789	media
NewDay	1375289149	318584	media
project_veritas	850036892	315219	media
NRO	19417492	311239	media
CBSEveningNews	42958829	293675	media
crookedmedia	804015436979277824	291710	media
CBSPolitics	18767699	291543	media
OutFrontCNN	361342191	291113	media
niemanlab	15865878	286872	media
npratc	21918310	282909	media
HLNTV	26282046	279116	media
NBCNewsWorld	11855772	279082	media
TPM	14717197	275743	media
ReutersWorld	335455570	275491	media
dailykos	20818801	274771	media
Rasmussen_Poll	19553409	274455	media
nprfreshair	13783772	271028	media
SputnikInt	34262462	266200	media
allinwithchris	1286312880	265618	media
ReutersPolitics	25562002	259000	media
bpolitics	564111558	253326	media
ShepNewsTeam	169203819	246543	media
OANN	1209936918	245411	media
FoxNewsSunday	18805644	241817	media
TwitchyTeam	469194846	239213	media
axios	800707492346925056	234983	media
NYTmag	16929600	234246	media
abcWNN	263970953	233446	media
PalmerReport	15115280	227433	media
MorningEdition	20150502	225467	media
reason	16467567	222843	media
snopes	14294848	218746	media
UpshotNYT	16955870	218656	media
VICELAND	3806553495	215557	media
realDailyWire	4081106480	211604	media
CBSSunday	119829799	210961	media
usatodayDC	7998482	210802	media
climateprogress	28657802	207826	media
LevinTV	3006081057	206480	media
Blavity	2466899838	203256	media
RedState	3135241	202989	media
EliteDaily	331057915	202932	media
starsandstripes	9130702	199662	media
SpecialReport	122207745	198756	media
Poynter	8383592	197799	media
AP_Noticias	373490841	196964	media
observer	15738599	196858	media
mic	139909832	194036	media
RawStory	16041234	187871	media
TheDailyEdge	179732982	180407	media
WSJMoneyBeat	18858395	177691	media
WSJworld	28134618	176702	media
campusreform	44914646	176259	media
dailydot	211620426	175352	media
lawfareblog	186755547	175351	media
waitwait	13784322	175351	media
newsbusters	45190383	173448	media
OutnumberedFNC	2448135692	172096	media
jacobinmag	170254080	171155	media
FoxNewsInsider	147725246	169888	media
truthout	19605981	165817	media
ChicagoBreaking	18915579	164542	media
factcheckdotorg	21344507	163243	media
FoxNewsOpinion	107125748	162474	media
newrepublic	82689705	162432	media
CNNSotu	17112878	162412	media
OnionPolitics	326507914	162115	media
CR	2316003960	160895	media
ThisWeekABC	450941680	160271	media
PostWorldNews	15008600	156668	media
theMRC	20076659	155525	media
Mediaite	29465136	153719	media
Bipartisanism	487600344	150023	media
ffweekend	272395158	149614	media
MsMagazine	14177942	147224	media
foxheadlines	103060329	145949	media
BV	227682918	145524	media
RealClearNews	20094138	145179	media
FDRLST	1408003598	142807	media
dcexaminer	18956073	142493	media
TheLeadCNN	1176994477	142001	media
usnews	6577642	141805	media
AlterNet	18851248	139877	media
TheBeatWithAri	887418059501305858	133852	media
WSJPolitics	16311797	131280	media
nationaljournal	15210284	130832	media
foxnewsradio	11611052	130810	media
NatSecCNN	44935627	129620	media
latimesbiz	10221272	129283	media
theweek	16439471	128079	media
TheAtlNews	73190286	127942	media
CJR	57411021	127605	media
PacificStand	34781412	127171	media
Townhallcom	28614262	126504	media
IBTimes	78714922	125571	media
WSJLawNews	28144343	124772	media
TheIJR	474464413	124406	media
rollcallpols	15918708	122544	media
538politics	2340558698	122396	media
buzzfeedpol	456806128	121631	media
Colorlines	22986148	121413	media
ReutersTV	2561597334	121082	media
HuffPostImpact	80681990	120302	media
ppppolls	61220477	119182	media
cnsnews	34927577	116018	media
CRTV	753385398718521344	114200	media
Harpers	14287094	113048	media
dealbook	16955517	112980	media
attn	214112621	112725	media
ReutersUS	15108530	112252	media
Publici	19034656	108750	media
CookPolitical	191477653	106785	media
MadWorldNews	1957674949	106284	media
TheWorldPost	26566469	105614	media
PoliticsNation	364423298	104325	media
AlPunto	121540651	103294	media
CBNNews	26028938	100984	media
PVeritas_Action	2795404498	100257	media
theGrio	38228095	96905	media
CNBCi	19898168	96213	media
WSJCentralBanks	327484803	96087	media
WhatsNewsWSJ	28337697	95998	media
FreeBeacon	455764741	95416	media
HuffPostBiz	27073265	94231	media
DeadlineWH	860123351154556928	93228	media
latimesworld	10080132	92293	media
Hatewatch	29770501	91009	media
GallupNews	7684882	90843	media
socialgood	41509378	90515	media
politico_45	18451200	88443	media
EconUS	32353291	87127	media
BlackNews	18029139	86028	media
Truthdig	15950681	85621	media
Circa	441389311	85482	media
WAJournal	80473367	85158	media
RightWingWatch	17376893	84772	media
crooksandliars	14513611	84425	media
Shareblue	2467720274	79957	media
conserv_tribune	2217181338	79651	media
newsmax	20545835	79445	media
clusterstock	16746076	79122	media
CNNOpinion	259074538	79062	media
governing	25334900	78777	media
NYTNational	1767741	77833	media
POLITICOMag	1548489476	76913	media
CNNTonight	2415053456	76354	media
MorningExp	229114225	74825	media
HuffPostContrib	131500972	73979	media
AmericaNewsroom	312800783	73273	media
washingtonweek	48037533	72725	media
MarshallProj	2216041938	72617	media
csmonitor	14857525	72547	media
NPRWeekend	13784532	70844	media
intelligencer	45565185	70249	media
politicususa	14792049	67957	media
NBCLatino	377949581	67955	media
RSBNetwork	4041824789	67217	media
UniPolitica	475294870	67192	media
LatinoUSA	18363255	64984	media
WPReview	15462819	64865	media
ReliableSources	547860279	64253	media
HappeningNow	171154131	62545	media
PJMedia_com	7597712	62510	media
TheRealNews	8719302	62221	media
newsone	18197668	61470	media
NatCounterPunch	297688038	61388	media
TIMEWorld	15723281	61078	media
DailySignal	2361224263	60897	media
QuinnipiacPoll	76707735	60469	media
cspanwj	15923226	60444	media
DailySignal	2361224263	59399	media
commondreams	14296273	59118	media
Rare	822039337	58484	media
foxnewslatino	161319475	57368	media
DissentMag	22974854	56646	media
curaffairs	4128420672	56164	media
pewglobal	831470472	55450	media
reveal	1726074810	55211	media
firstthingsmag	25314580	54256	media
NBCFirstRead	52419540	53844	media
innovation	25372760	53699	media
theinquisitr	14722676	53382	media
RedAlert	418991627	52688	media
WSJThinkTank	28195764	51617	media
MSNNews	637351664	51362	media
just_security	1459232030	50932	media
TheNatlInterest	152311372	50539	media
CIRonline	15173859	50430	media
TIMEPolitics	15723290	49904	media
11thHour	771388593130483712	49265	media
ABCNewsLive	384438102	48515	media
ReutersOpinion	382275399	48384	media
TIMEIdeas	386742828	46530	media
APBusiness	3066084185	46087	media
DKElections	24619328	46043	media
TYTPolitics	710682575870795776	45269	media
thebafflermag	54619276	44433	media
UPI	16666806	44275	media
BIZPACReview	237888723	44080	media
NBCBLK	2910022539	43595	media
monkeycageblog	116630713	43578	media
mrctv	13737002	42569	media
amspectator	16180004	42351	media
McClatchyDC	17487795	41986	media
MintPressNews	414962189	41799	media
AmericanThinker	34109146	41771	media
trscoop	18208120	41204	media
BlackAmericaWeb	58845996	40698	media
FullMeasureNews	3434177986	40379	media
ConversationUS	2733320850	38805	media
epochtimes	29097819	38523	media
ATLBlackStar	565521611	38432	media
TIMEBusiness	15723933	37947	media
amconmag	35511525	37932	media
WestJournalism	46520074	37562	media
MSNBCYourBiz	153140346	37360	media
RCDefense	1222716350	36803	media
WSJMag	85590450	36171	media
BostonReview	36969470	36125	media
LifeZette	3016071993	36039	media
ozy	1396151678	35354	media
theprospect	15949696	35319	media
Commentary	18653221	34972	media
Politicsinsider	242374336	34298	media
PostOpinions	14345812	34063	media
FAIRmediawatch	54679731	33870	media
CityJournal	18086993	33116	media
WSJusnews	28135853	32851	media
inthesetimesmag	45629254	32484	media
WSWS_Updates	117810351	32458	media
JDBmsnbc	97503010	31450	media
theprogressive	10117892	31444	media
TaskandPurpose	2374466929	30809	media
MilDefInsider	479813224	30015	media
latimesnational	10222862	29599	media
NiemanReports	70706313	29033	media
intellihubnews	167716675	28742	media
specialreports	372862603	27884	media
PewHispanic	426041590	27852	media
CNBCopinion	263936580	27136	media
EarlyStart	447410369	26326	media
AccuracyInMedia	15256077	26087	media
PostPolls	14703188	25231	media
tnynews	23484510	25141	media
Wonkblog	353225544	24976	media
KasieDC	917577254221336578	24637	media
njhotline	15210410	22966	media
postgreen	14493552	22135	media
resurgent	4569690923	21776	media
MegynTODAY	871758327373582336	21547	media
TheAtlPolitics	140844060	21253	media
ThePolitiChicks	431698111	20632	media
RealClearWorld	19338715	20074	media
playbookplus	743155123258531840	19912	media
NBCAsianAmerica	2535377622	19412	media
USATOpinion	133052366	19372	media
CQnow	2312829909	18919	media
UnivisionNews	1596835069	18729	media
briefingroom	19659031	18632	media
ABCInvestigates	50683521	18151	media
POLITICOPro	207660339	18043	media
NBCInvestigates	218289790	17922	media
MorningConsult	149954544	17863	media
latimesopinion	17825891	17716	media
congressblog	19658614	17521	media
NBCOUT	3331875599	17499	media
slatest	274559013	17139	media
BulwarkOnline	1049475664804532225	17000	media
livedesk	17872744	16371	media
thelilynews	763382314629992448	15844	media
hotairblog	1517872886	15422	media
CrisisMag	39725086	15372	media
Streamdotorg	2993959370	14910	media
DemocracyPost	455039820	14822	media
