	key_0	username_x	username_y	id	name	verified_type	verified	followers_count	following_count	tweet_count	listed_count	withheld
0	cnnbrk	cnnbrk	cnnbrk	428333	CNN Breaking News	business	True	64153062.0	122.0	78936.0	192319.0	
1	nytimes	nytimes	nytimes	807095	The New York Times	business	True	54857421.0	861.0	496401.0	216145.0	
2	cnn	cnn	CNN	759251	CNN	business	True	60971001.0	1093.0	394664.0	156435.0	
3	reuters	reuters	Reuters	1652541	Reuters	business	True	25710265.0	1230.0	961405.0	135968.0	
4	foxnews	foxnews	FoxNews	1367531	Fox News	business	True	23604475.0	262.0	521359.0	73878.0	
5	wsj	wsj	WSJ	3108351	The Wall Street Journal	business	True	20435514.0	1082.0	395121.0	127151.0	
6	time	time	TIME	14293310	TIME	business	True	19443428.0	531.0	407065.0	105865.0	
7	forbes	forbes	Forbes	91478624	Forbes	business	True	18664472.0	5038.0	447644.0	63357.0	
8	abc	abc	ABC	28785486	ABC News	business	True	17788878.0	447.0	405161.0	66543.0	
9	washingtonpost	washingtonpost	washingtonpost	2467791	The Washington Post	business	True	19991308.0	1704.0	450607.0	107879.0	
10	ap	ap	AP	51241574	The Associated Press	business	True	16042280.0	6698.0	341032.0	105178.0	
11	huffpost	huffpost	HuffPost	14511951	HuffPost	business	True	11226326.0	5537.0	616688.0	80926.0	
12	theonion	theonion	TheOnion	14075928	The Onion	business	True	11915226.0	6.0	95240.0	65745.0	
13	breakingnews	breakingnews	BreakingNews	6017542	Breaking News	business	True	9624364.0	537.0	107275.0	82887.0	
14	newyorker	newyorker	NewYorker	14677919	The New Yorker	business	True	8979928.0	402.0	147323.0	63345.0	
15	cnni	cnni	cnni	2097571	CNN International	business	True	14384835.0	368.0	285057.0	49588.0	
16	npr	npr	NPR	5392522	NPR	business	True	8884398.0	65137.0	241501.0	69070.0	
17	cbsnews	cbsnews	CBSNews	15012486	CBS News	business	True	8881924.0	600.0	362419.0	56642.0	
18	nbcnews	nbcnews	NBCNews	14173315	NBC News	business	True	9377409.0	1841.0	359238.0	51552.0	
19	harvardbiz	harvardbiz	HarvardBiz	14800270	Harvard Business Review	business	True	5836424.0	214.0	114097.0	51047.0	
20	vanityfair	vanityfair	VanityFair	15279429	VANITY FAIR	business	True	4778117.0	1221.0	160979.0	18649.0	
21	todayshow	todayshow	TODAYshow	7744592	TODAY	business	True	4204247.0	7709.0	220159.0	17906.0	
22	usatoday	usatoday	USATODAY	15754281	USA TODAY	business	True	4924458.0	941.0	390695.0	37390.0	
23	politico	politico	politico	9300262	POLITICO	business	True	4637230.0	1189.0	366555.0	43666.0	
24	gma	gma	GMA	22650211	Good Morning America	business	True	3790710.0	2398.0	308158.0	15142.0	
25	newsweek	newsweek	Newsweek	2884771	Newsweek	business	True	3588314.0	578.0	321799.0	37123.0	
26	latimes	latimes	latimes	16664681	Los Angeles Times	business	True	3997900.0	6885.0	491357.0	35764.0	
27	thehill	thehill	thehill	1917731	The Hill	business	True	4475277.0	314.0	1088604.0	29115.0	
28	cnbc	cnbc	CNBC	20402945	CNBC	business	True	5034244.0	853.0	551535.0	39887.0	
29	nprpolitics	nprpolitics	nprpolitics	5741722	NPR Politics	business	True	3011039.0	92319.0	110499.0	31170.0	
30	cnnpolitics	cnnpolitics	CNNPolitics	13850422	CNN Politics	business	True	4477938.0	335.0	216427.0	22571.0	
31	rt_com	rt_com	RT_com	64643056	RT	none	True	3074779.0	686.0	434006.0	21339.0	{'country_codes': ['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']}
32	businessinsider	businessinsider	BusinessInsider	20562637	Insider Business	business	True	3968865.0	415.0	723127.0	36080.0	
33	msnbc	msnbc	MSNBC	2836421	MSNBC	business	True	4958872.0	785.0	292643.0	31091.0	
34	fortunemagazine	fortunemagazine	FortuneMagazine	25053299	FORTUNE	business	True	2360620.0	594.0	279811.0	23995.0	
35	pbs	pbs	PBS	12133382	PBS	business	True	2243618.0	44891.0	86989.0	17096.0	
36	nowthisnews	nowthisnews	nowthisnews	701725963	NowThis	business	True	2707626.0	1289.0	266249.0	9986.0	
37	foxnewspolitics	foxnewspolitics	foxnewspolitics	16032925	Fox News Politics	business	True	1841938.0	249.0	51649.0	7751.0	
38	reutersbiz	reutersbiz	ReutersBiz	15110357	Reuters Business	business	True	2553514.0	247.0	283991.0	27168.0	
39	vice	vice	VICE	23818581	VICE	business	True	2019913.0	10533.0	191722.0	16651.0	
40	cspan	cspan	cspan	15675138	CSPAN	business	True	2101017.0	8500.0	61898.0	13510.0	
41	nytimesworld	nytimesworld	nytimesworld	1877831	New York Times World	business	True	2204894.0	804.0	294953.0	20318.0	
42	slate	slate	Slate	15164565	Slate	business	True	1719304.0	714.0	558989.0	28987.0	
43	nymag	nymag	NYMag	45564482	New York Magazine	business	True	1795870.0	993.0	223271.0	13366.0	
44	cnnmoney	cnnmoney	CNNMoney	1044606986946531328	moneyzab	none	False	515.0	0.0	0.0	12.0	
45	theatlantic	theatlantic	TheAtlantic	35773039	The Atlantic	business	True	2121463.0	1078.0	216452.0	30390.0	
46	bw	bw	BW	67358777	Businessweek	business	True	2183779.0	608.0	175107.0	20638.0	
47	voanews	voanews	VOANews	16273831	Voice of America	business	True	1703683.0	253.0	181625.0	5509.0	
48	wsjbusiness	wsjbusiness	WSJbusiness	28140646	WSJ Business News	business	True	1712643.0	396.0	68927.0	17084.0	
49	huffpostpol	huffpostpol	HuffPostPol	15458694	HuffPost Politics	business	True	1417429.0	8460.0	335852.0	15828.0	
50	drudge_report	drudge_report	DRUDGE_REPORT	14887069	DRUDGE REPORT	none	False	3.0	0.0	0.0	1.0	
51	nypost	nypost	nypost	17469289	New York Post	business	True	2828622.0	10790.0	529245.0	20951.0	
52	abcworldnews	abcworldnews	ABCWorldNews	86141342	World News Tonight	business	True	1635541.0	435.0	205326.0	11399.0	
