id	X1	key_0	username_x	username_y	name	verified_type	verified	followers_count	following_count	tweet_count	listed_count	withheld	followingMLE	sdMLE	followingCA	sig	MLE_norm
1020058453	54	buzzfeednews	buzzfeednews	BuzzFeedNews	BuzzFeed News	business	TRUE	1408674	4749	212758	11680	NA	-0.33	0.09	1.1404112092769862	TRUE	0.2582167809198894
1044606986946531328	44	cnnmoney	cnnmoney	CNNMoney	moneyzab	none	FALSE	515	0	0	12	NA	NA	NA	NA	NA	NA
10774652	84	theblaze	theblaze	theblaze	TheBlaze	business	TRUE	870125	717	161236	6650	NA	0.67	0.1	1.6054240455834523	TRUE	1.2978273243405545
115754870	116	rt_america	rt_america	RT_America	RT America	none	TRUE	350434	739	126982	4456	{'country_codes': ['AT', 'BE', 'BG', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IT', 'LT', 'LU', 'LV', 'MT', 'NL', 'PL', 'PT', 'RO', 'SE', 'SI', 'SK']}	-1.34	0.23	0.829448184227691	TRUE	-0.7917898679349822
11855772	142	nbcnewsworld	nbcnewsworld	NBCNewsWorld	NBC News World	business	TRUE	299327	358	100287	3636	NA	-0.71	0.23	0.5635899172198298	TRUE	-0.1368352255799632
11856032	98	nbcpolitics	nbcpolitics	NBCPolitics	NBC Politics	business	TRUE	663757	263	82905	7671	NA	-0.72	0.22	-0.9745752989302843	TRUE	-0.14723133101416985
11856142	119	nbcnewsbusiness	nbcnewsbusiness	NBCNewsBusiness	NBC News Business	business	TRUE	361466	411	44591	5507	NA	-1.25	0.18	0.5909581213837112	TRUE	-0.6982249190271222
11856892	90	meetthepress	meetthepress	MeetThePress	Meet the Press	business	TRUE	650175	493	102519	6912	NA	-0.69	0.16	0.4113358172715251	TRUE	-0.11604301471154986
11856932	105	datelinenbc	datelinenbc	DatelineNBC	Dateline NBC	business	TRUE	459471	1639	96792	2452	NA	-0.48	0.2	0.24270964742273035	TRUE	0.10227519940678974
1209936918	156	oann	oann	OANN	One America News	business	TRUE	1820264	96	146503	6010	NA	3.43	0.38	1.5147146395124056	TRUE	4.16715242418159
12133382	35	pbs	pbs	PBS	PBS	business	TRUE	2243618	44891	86989	17096	NA	-1.5	0.33	0.4051309673326301	TRUE	-0.9581275548822885
121817564	89	splinter_news	splinter_news	splinter_news	Splinter	none	TRUE	510758	2401	147354	3570	NA	-1.06	0.13	0.12084711965793483	TRUE	-0.500698915777196
1280916490380812288	110	hardball	hardball	Hardball	Now: The ReidOut	none	FALSE	165	1	0	0	NA	3.88	0.29	-2.263330939434154	TRUE	4.634977168720889
1286312880	149	allinwithchris	allinwithchris	allinwithchris	All In with Chris Hayes	business	TRUE	421649	1091	35722	3059	NA	-1.97	0.13	-1.4098274549353325	TRUE	-1.446744510290001
13493302	118	mmfa	mmfa	mmfa	Media Matters	business	TRUE	450147	2441	101224	9860	NA	-0.75	0.12	-0.12232695482555384	TRUE	-0.17841964731678983
13557972	108	blackvoices	blackvoices	blackvoices	HuffPost BlackVoices	business	TRUE	447760	18204	90694	4232	NA	-1.79	0.19	-0.4492251263326349	TRUE	-1.2596146124742815
1367531	4	foxnews	foxnews	FoxNews	Fox News	business	TRUE	23604475	262	521359	73878	NA	0.57	0.13	1.5574958385144648	TRUE	1.1938662699984879
13783772	147	nprfreshair	nprfreshair	nprfreshair	Fresh Air	business	TRUE	276126	1900	28593	5422	NA	-0.97	0.11	-0.25958301182468085	TRUE	-0.40713396686933606
13850422	30	cnnpolitics	cnnpolitics	CNNPolitics	CNN Politics	business	TRUE	4477938	335	216427	22571	NA	-0.04	0.31	1.0087793299828725	FALSE	0.5597038385118822
14075928	12	theonion	theonion	TheOnion	The Onion	business	TRUE	11915226	6	95240	65745	NA	NA	NA	NA	NA	NA
14173315	18	nbcnews	nbcnews	NBCNews	NBC News	business	TRUE	9377409	1841	359238	51552	NA	-0.78	0.14	-0.6761640547239758	TRUE	-0.20960796361940978
14293310	6	time	time	TIME	TIME	business	TRUE	19443428	531	407065	105865	NA	-1.32	0.24	0.06712063893166575	TRUE	-0.7709976570665689
14345062	113	postpolitics	postpolitics	postpolitics	Post Politics	business	TRUE	403604	1668	96496	7148	NA	0.24	0.06	1.1739106759411035	TRUE	0.8507947906696685
14434063	104	nytpolitics	nytpolitics	nytpolitics	NYT Politics	none	TRUE	516531	225	144507	9599	NA	-1.03	0.17	-1.5774114297741593	TRUE	-0.469510599474576
14437914	64	newshour	newshour	NewsHour	PBS NewsHour	business	TRUE	1203273	95858	221830	14815	NA	-0.26	0.09	1.1039774238573035	TRUE	0.330989518959336
14511951	11	huffpost	huffpost	HuffPost	HuffPost	business	TRUE	11226326	5537	616688	80926	NA	0.18	0.06	1.1336643588635333	TRUE	0.7884181580644286
14606079	78	propublica	propublica	propublica	ProPublica	business	TRUE	912405	634	106458	17673	NA	-0.77	0.23	-0.3984208372658719	TRUE	-0.19921185818520312
14662354	127	washtimes	washtimes	WashTimes	The Washington Times	business	TRUE	445650	1890	443959	8114	NA	0.68	0.08	1.5308905946804865	TRUE	1.308223429774761
14677919	14	newyorker	newyorker	NewYorker	The New Yorker	business	TRUE	8979928	402	147323	63345	NA	-1.25	0.25	-0.6783465251580804	TRUE	-0.6982249190271222
14717197	143	tpm	tpm	TPM	Talking Points Memo	business	TRUE	270404	689	179712	8112	NA	-0.46	0.13	0.3368363536620791	TRUE	0.12306741027520299
