	AssignmentId	WorkerId	HITId	AssignmentStatus	AutoApprovalTime	AcceptTime	SubmitTime	ApprovalTime	Answer
0	3I33IC7ZWOF2NM3E6HO6R7O5B4M2AR	A2D8LB2RPJXMSQ	3JYPJ2TAZQLQP0OYTTG9D1B1KR7FP0	Approved	2022-04-16 12:33:32-04:00	2022-04-13 12:30:21-04:00	2022-04-13 12:33:32-04:00	2022-04-13 15:30:14-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1rH4k1feBxGBHgE</FreeText></Answer></QuestionFormAnswers>"
1	30BUDKLTXM8XCW3D45SQLXH8GTBE5Z	A1JWFOVVJHWSIH	3JYPJ2TAZQLQP0OYTTG9D1B1KR7FP0	Approved	2022-04-16 12:35:12-04:00	2022-04-13 12:30:09-04:00	2022-04-13 12:35:12-04:00	2022-04-13 15:30:13-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2Pwc0yxe4H076kS</FreeText></Answer></QuestionFormAnswers>"
2	3CP1TO84P2E5HGRXBLXPJW8JJQL25L	A3K0E2QNULM0OB	3JYPJ2TAZQLQP0OYTTG9D1B1KR7FP0	Approved	2022-04-16 12:35:25-04:00	2022-04-13 12:30:20-04:00	2022-04-13 12:35:25-04:00	2022-04-13 15:30:15-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2YV661b7x4c5gTI</FreeText></Answer></QuestionFormAnswers>"
3	3OVHNO1VEFEQR492FYOM4J6IHGHZDX	A3MFK5UEUG95M3	3JYPJ2TAZQLQP0OYTTG9D1B1KR7FP0	Approved	2022-04-16 12:35:58-04:00	2022-04-13 12:30:20-04:00	2022-04-13 12:35:58-04:00	2022-04-13 15:30:16-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1LYdEshI9bJBGIW</FreeText></Answer></QuestionFormAnswers>"
4	3EF8EXOTTA86ZUOMHJ15FNHJ9L1J16	A10E77ALJR6R1R	3JYPJ2TAZQLQP0OYTTG9D1B1KR7FP0	Approved	2022-04-16 12:37:09-04:00	2022-04-13 12:30:09-04:00	2022-04-13 12:37:09-04:00	2022-04-13 15:30:12-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_22nxAMwG1BcOD2G</FreeText></Answer></QuestionFormAnswers>"
5	3X66WABAJ5VSIVC0WHUL6340FDYG3R	AEFM0SQWZE98Y	3JYPJ2TAZQLQP0OYTTG9D1B1KR7FP0	Approved	2022-04-16 12:37:57-04:00	2022-04-13 12:30:09-04:00	2022-04-13 12:37:57-04:00	2022-04-13 15:30:17-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3KIbfZhWRW2myKv</FreeText></Answer></QuestionFormAnswers>"
6	35H6S234SJDTZHAYYN9S99PVZVN656	A2R7PDGVB16KGY	3JYPJ2TAZQLQP0OYTTG9D1B1KR7FP0	Approved	2022-04-16 12:38:33-04:00	2022-04-13 12:30:09-04:00	2022-04-13 12:38:33-04:00	2022-04-13 15:30:15-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2eRWvCCWmjPCP4S</FreeText></Answer></QuestionFormAnswers>"
7	39GAF6DQW0DFQPOGY8FOIBSD4891VA	A181HHZC94KPZR	3JYPJ2TAZQLQP0OYTTG9D1B1KR7FP0	Approved	2022-04-16 12:38:37-04:00	2022-04-13 12:30:20-04:00	2022-04-13 12:38:37-04:00	2022-04-13 15:30:13-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2Yhd0dARRr2XYTf</FreeText></Answer></QuestionFormAnswers>"
8	3MYYFCXHJCKD0RV4WVZ4G8W6TDV4G1	A3RNDWQ8FN4R58	3JYPJ2TAZQLQP0OYTTG9D1B1KR7FP0	Approved	2022-04-16 12:40:33-04:00	2022-04-13 12:30:41-04:00	2022-04-13 12:40:33-04:00	2022-04-13 15:30:16-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_pcwDIvruZRxYM3T</FreeText></Answer></QuestionFormAnswers>"
9	352YTHGRO4QR0NQFG1HM18878D8H4D	ALYR5CI2SM2JC	3JYPJ2TAZQLQP0OYTTG9D1B1KR7FP0	Approved	2022-04-16 12:41:31-04:00	2022-04-13 12:30:20-04:00	2022-04-13 12:41:31-04:00	2022-04-13 15:30:17-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2YDHcWklG3OGjoH</FreeText></Answer></QuestionFormAnswers>"
