	AssignmentId	WorkerId	HITId	AssignmentStatus	AutoApprovalTime	AcceptTime	SubmitTime	ApprovalTime	Answer	RejectionTime	RequesterFeedback
0	3ZGVPD4G62UX8T5Z1OO19NO4LNOTZ0	A6Y7SZU9L301W	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:09:38-04:00	2022-04-17 11:05:34-04:00	2022-04-17 11:09:38-04:00	2022-04-17 16:11:36-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2AHcQTdFMgYTR2G</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A6Y7SZU9L301W</FreeText></Answer></QuestionFormAnswers>"		
1	3RGU30DZTJL3VJABA5K3ZF5M8HFMJ7	A29YHMAWHW9SCB	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:11:54-04:00	2022-04-17 11:07:28-04:00	2022-04-17 11:11:54-04:00	2022-04-17 16:11:35-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3qR1sKK5PgGjtwa</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>R_egKJpZodZIqouwF</FreeText></Answer></QuestionFormAnswers>"	2022-04-17 11:13:42-04:00	You need to install the chrome extension and provide the installation code to be approved for this HIT as per the final page instuctions
2	3E7TUJ2EGLZBLDRPB0UNRV4P3YB9DH	A1W7I6FN183I8F	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:13:13-04:00	2022-04-17 11:06:16-04:00	2022-04-17 11:13:13-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3npePtBOhI5vRUq</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A1W7I6FN183I8F</FreeText></Answer></QuestionFormAnswers>"		
3	3H0W84IWBTFMHJ1B1C5TOYM49WIER2	A2VO8C41JJIQY9	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:13:25-04:00	2022-04-17 11:05:30-04:00	2022-04-17 11:13:25-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1n9Dbasu8OEhdEY</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A2VO8C41JJIQY9</FreeText></Answer></QuestionFormAnswers>"		
4	3CPLWGV3MXCK7PI20U8QN0GJH2D9NZ	AG36U7IOG2LAP	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:13:33-04:00	2022-04-17 11:05:34-04:00	2022-04-17 11:13:33-04:00	2022-04-17 16:11:33-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_24MEdK5bFPR51bC</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_AG36U7IOG2LAP</FreeText></Answer></QuestionFormAnswers>"		
5	3R0T90IZ11PGVV8JPA5MZ68UMBUCGB	A2S4CVETZQ2H4F	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:16:12-04:00	2022-04-17 11:05:31-04:00	2022-04-17 11:16:12-04:00	2022-04-17 16:11:35-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3EhH1FteaxuZiem</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A2S4CVETZQ2H4F</FreeText></Answer></QuestionFormAnswers>"		
6	35LDD5557JHY63GTSQKF0U5ZN6FMK6	A1EUQS74TV2OO1	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:16:39-04:00	2022-04-17 11:07:08-04:00	2022-04-17 11:16:39-04:00	2022-04-17 16:11:32-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2bJeU5WgPyoN1EV</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A1EUQS74TV2001</FreeText></Answer></QuestionFormAnswers>"		
7	3MTMREQS44VOZ21LK1DDFE4UGWZWAS	A3BI0AX5T5GVO3	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:17:25-04:00	2022-04-17 11:09:11-04:00	2022-04-17 11:17:25-04:00	2022-04-17 16:11:35-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2fv5BZtWiTSYjxb</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>I did not receive an extenision installation code from this survey.</FreeText></Answer></QuestionFormAnswers>"	2022-04-17 12:47:30-04:00	Did not provide correct installation code
8	3OJSZ2ATD19C3HO3HXEKFNPRVRP75V	A3CGQOJC28OVGN	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:19:20-04:00	2022-04-17 11:05:31-04:00	2022-04-17 11:19:20-04:00	2022-04-17 16:11:35-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_ypF4Bu2VCdkDHPj</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A3CGQOJC28OVGN</FreeText></Answer></QuestionFormAnswers>"		
9	31LVTDXBLGN0NPB3IYSX1TCOITJRL2	A3L0Z9IBVL6CM0	3MDWE879VPFFKWWB72YG8LK10SL9BB	Approved	2022-04-20 11:21:30-04:00	2022-04-17 11:09:11-04:00	2022-04-17 11:21:30-04:00	2022-04-17 16:11:32-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_2wdIax7eFvZpeJo</FreeText></Answer><Answer><QuestionIdentifier>installcode</QuestionIdentifier><FreeText>tft_ic0_A3L0Z9IBVL6CM0</FreeText></Answer></QuestionFormAnswers>"		
