	AssignmentId	WorkerId	HITId	AssignmentStatus	AutoApprovalTime	AcceptTime	SubmitTime	ApprovalTime	Answer
0	3VD82FOHKZ14N8PHDTIU4FHWEGQCO6	A2VO8C41JJIQY9	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-23 11:10:00-04:00	2022-04-20 11:04:23-04:00	2022-04-20 11:10:00-04:00	2022-04-23 11:10:18-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_27xtYJ2lFO3BfcR</FreeText></Answer></QuestionFormAnswers>"
1	3EFE17QCRLIA28SQ62D4ZBODOXYHSH	A2AEJTWGU1M8TX	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-23 11:14:11-04:00	2022-04-20 11:04:39-04:00	2022-04-20 11:14:11-04:00	2022-04-23 11:14:18-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1lczs2Z09pss3o5</FreeText></Answer></QuestionFormAnswers>"
2	3Z4GS9HPN4NRQL2M5QTHD73NNGU77N	AMPR904VJJFZY	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-23 11:28:21-04:00	2022-04-20 11:26:23-04:00	2022-04-20 11:28:21-04:00	2022-04-23 11:29:18-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_23dwecGg2Hq0CQy</FreeText></Answer></QuestionFormAnswers>"
3	3KJYX6QCMIOML64KOXLUMBOZ0TYJVV	A7T06JMP6BTDS	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-23 11:53:22-04:00	2022-04-20 11:13:49-04:00	2022-04-20 11:53:22-04:00	2022-04-23 11:54:18-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1mw8xz74QvMVgPo</FreeText></Answer></QuestionFormAnswers>"
4	3WRFBPLXRJ1YSNTMJL7GWNDXIT8N34	A3K9GTQBOI7O5A	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-23 11:53:45-04:00	2022-04-20 11:04:22-04:00	2022-04-20 11:53:45-04:00	2022-04-23 11:54:18-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1MM6E8r0okMsFlQ</FreeText></Answer></QuestionFormAnswers>"
5	35GMH2SV3NUJK69V9KOPU3HZZSMEOK	AB7ZGKRL87OZ1	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-23 12:18:40-04:00	2022-04-20 12:02:37-04:00	2022-04-20 12:18:40-04:00	2022-04-23 12:19:18-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_26ewZdMzInMKidO</FreeText></Answer></QuestionFormAnswers>"
6	3E1QT0TDFYMSFJO1YMPKIWPRCGYI83	A11YS0T8MV3Q7C	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-23 12:37:18-04:00	2022-04-20 12:32:21-04:00	2022-04-20 12:37:18-04:00	2022-04-23 12:38:18-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_DNuk8sP1E3m5YKl</FreeText></Answer></QuestionFormAnswers>"
7	30JNVC0ORIXYPSDDEYOZ4B9C6HBQHF	A2VBSFSJXLZZ7A	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-24 11:44:23-04:00	2022-04-21 11:42:23-04:00	2022-04-21 11:44:23-04:00	2022-04-24 11:44:42-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_24LUZF6C5buaU8s</FreeText></Answer></QuestionFormAnswers>"
8	37KGEN7NJC352XAMXYHFDFLTNDWPPR	AD3VY2BAFL01N	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-24 13:59:50-04:00	2022-04-21 13:56:28-04:00	2022-04-21 13:59:50-04:00	2022-04-24 14:00:43-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_3R8V7AMcP1tSWVV</FreeText></Answer></QuestionFormAnswers>"
9	30BXRYBRPDA39P9ZQ7N5W0RYUJ4HWO	A2OVOVZBJYUO	3UQ1LLR27IL52OSSQL1AIJRQJ6QALS	Approved	2022-04-24 15:25:37-04:00	2022-04-21 15:23:54-04:00	2022-04-21 15:25:37-04:00	2022-04-24 15:25:43-04:00	"<?xml version=""1.0"" encoding=""ASCII""?><QuestionFormAnswers xmlns=""http://mechanicalturk.amazonaws.com/AWSMechanicalTurkDataSchemas/2005-10-01/QuestionFormAnswers.xsd""><Answer><QuestionIdentifier>surveycode</QuestionIdentifier><FreeText>R_1mDZ9aKFL1Gp5bH</FreeText></Answer></QuestionFormAnswers>"
