StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Q8_1,Q8_2,Q10_1,Q10_2,Q12_1,Q12_2,Q12_3,Q13_1,Q13_2,Q13_3,Q13_4,Q14,Q15,Q19,Q20,Q16,ResponseID,RandomID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We are interested in understanding how social media affects political opinions. Participation in the study involves completing two 5-minute surveys one week apart about what you think about important issues and how you use news and other media sources. We also asked you to install a Google Chrome browser extension that may hide or re-order tweets on your Twitter timeline. This is the second of the two surveys.

The researchers will adhere to strict standards of confidentiality. Your Amazon Mechancial Turk ID will be replaced with anonymous survey codes in the final dataset to minimize the risk of identification. Other potentially identifiable data collected over the course of this study (the news items you may see over the course of your browsing history) will only be accessible to members of the research team, who have signed confidentiality agreements. Data shared with other researchers or presented in publications will not include this information. Information not containing identifiers may be used in future research, shared with other researchers, or placed in a data repository without your additional consent. 

Your participation in this study is entirely voluntary and you have the right to decline or participate or stop participating at any point. If you choose to do this, you may request that any information obtained from you in the course of the study be destroyed. 

If you have further questions or would like to provide additional information, please direct your correspondence to saz310@nyu.edu.
For questions about your rights as a research participant, you may contact the University Committee on Activities Involving Human Subjects, New York University, 665 Broadway, Suite 804, New York, NY 10012 at 212-998-4808 or ask.humansubjects@nyu.edu. Please reference the study # (IRB-FY2022-6358) when contacting the IRB.
We encourage that you print or save this form for your own records.",thermometer - Democrats,thermometer - Republicans,distance - Marrying a Trump supporter,distance - Marrying a Biden supporter,How much do you agree or disagree with the following statements? - Democrats and Republicans hate each other.,How much do you agree or disagree with the following statements? - The difference between Democrats and Republicans are too great to be reconciled.,How much do you agree or disagree with the following statements? - Polarization in America is greater than ever before.,How much do you agree or disagree with the following statements? - The growing number of newcomers from other countries strengthens American society.,How much do you agree or disagree with the following statements? - Reducing the impact of climate change should be a top priority for the government.,How much do you agree or disagree with the following statements? - Fighting the coronavirus pandemic should be a top priority for the government.,How much do you agree or disagree with the following statements? - The United States should take military action against Russia in response to the conflict in Ukraine.,"In presenting the news dealing with political and social issues, do you think that mainstream news organizations deal fairly with all sides, or do they tend to favor one side?","How much trust and confidence do you have in the press when it comes to reportin gth enews about government and politics fully, accurately, and fairly?","What changes, if any, did you find to your Twitter experience?","Do you have any feedback or suggestions on the study instructions, extension installation process, etc.?","Thank you for completing this survey! Here is your survey completion code:



[Field-ResponseID]



Please save and copy it for your records. You will need to enter it on the Mturk HIT page to ensure payment. 

You may uninstall the extension at any time by selecting the ""Remove from Chrome"" option in the extensions menu.",ResponseID,RandomID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QSEDResponseID""}","{""ImportId"":""RandomID""}"
2022-04-20 09:08:21,2022-04-20 09:09:56,0,98.226.108.16,100,95,1,2022-04-20 09:09:56,R_27xtYJ2lFO3BfcR,,,,,42.0128,-88.0967,anonymous,EN,1,63,26,5,4,4,2,5,5,2,4,1,2,3,"I did not notice any changes with respect to my twitter experience. ",None,,R_27xtYJ2lFO3BfcR,619413
2022-04-20 09:10:01,2022-04-20 09:14:07,0,47.7.227.238,100,245,1,2022-04-20 09:14:07,R_1lczs2Z09pss3o5,,,,,34.8308,-82.3507,anonymous,EN,1,69,58,2,3,5,4,4,4,4,5,4,2,1," font and design changes to its web and mobile apps.",none,,R_1lczs2Z09pss3o5,802179
2022-04-20 09:26:26,2022-04-20 09:28:16,0,67.252.18.175,100,109,1,2022-04-20 09:28:16,R_23dwecGg2Hq0CQy,,,,,42.7118,-73.7704,anonymous,EN,1,100,0,7,4,3,3,4,5,5,5,5,3,1,none,no,,R_23dwecGg2Hq0CQy,219653
2022-04-20 09:39:37,2022-04-20 09:53:19,0,69.9.59.184,100,822,1,2022-04-20 09:53:19,R_1mw8xz74QvMVgPo,,,,,43.3784,-116.5457,anonymous,EN,1,71,28,6,3,4,2,4,4,5,5,4,2,3,I do not use twitter often,No comments,,R_1mw8xz74QvMVgPo,251577
2022-04-20 09:51:53,2022-04-20 09:53:53,0,66.31.53.90,100,119,1,2022-04-20 09:53:53,R_1MM6E8r0okMsFlQ,,,,,42.428,-71.0618,anonymous,EN,1,79,18,6,2,4,2,4,4,5,5,4,2,2,"No changes, just more news. ",,,R_1MM6E8r0okMsFlQ,661026
2022-04-20 10:16:51,2022-04-20 10:18:21,0,74.139.186.134,100,90,1,2022-04-20 10:18:21,R_26ewZdMzInMKidO,,,,,38.3334,-85.4674,anonymous,EN,1,8,96,2,6,5,5,5,2,3,2,2,5,3,I didn't notice any changes,,,R_26ewZdMzInMKidO,397548
2022-04-20 10:32:25,2022-04-20 10:37:13,0,68.103.170.223,100,287,1,2022-04-20 10:37:13,R_DNuk8sP1E3m5YKl,,,,,37.0687,-97.031,anonymous,EN,1,24,70,3,5,3,2,4,2,2,2,2,2,3,I didn't find too much that changed. I think I seen a few new accounts or channels that were recommended to me to check out though.,I thought everything worked fine and it was a fair process using the extension.,,R_DNuk8sP1E3m5YKl,691316
2022-04-21 09:42:43,2022-04-21 09:44:17,0,74.131.203.108,100,93,1,2022-04-21 09:44:17,R_24LUZF6C5buaU8s,,,,,39.9534,-83.7801,anonymous,EN,1,8,80,3,6,4,4,5,4,2,2,1,4,3,None.,No.,,R_24LUZF6C5buaU8s,723206
