StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Consent	QID1	Q2	Q3	Q4	Q5	Q6	Q7_1	Q7_2	Q7_3	Q7_4	Q7_5	Q8_1	Q8_2	Q10_1	Q10_2	Q12_1	Q12_2	Q12_3	Q13_1	Q13_2	Q13_3	Q13_4	Q14	Q15	Q16	ResponseID	RandomID
2022-04-11 15:35:03	2022-04-11 15:35:23	1		100	20	1	2022-04-11 15:35:24	R_1IT9FD1rcztINWl					40.67990112	-74.00279999	preview	EN	1																										R_1IT9FD1rcztINWl	216062
2022-04-11 15:24:08	2022-04-11 15:35:59	0	67.245.236.180	100	711	1	2022-04-11 15:35:59	R_25T2XKuJUnwytlp					40.67990112	-74.00279999	anonymous	EN	1																										R_25T2XKuJUnwytlp	
2022-04-11 15:37:01	2022-04-11 15:37:17	1		100	16	1	2022-04-11 15:37:17	R_1HeK1uE4zUR7OpX					40.67990112	-74.00279999	preview	EN	1																										R_1HeK1uE4zUR7OpX	888455
2022-04-11 15:55:27	2022-04-11 15:59:27	0	67.245.236.180	100	240	1	2022-04-11 15:59:28	R_2QJuvLieRXHotpz					40.67990112	-74.00279999	anonymous	EN	1	2	2	1	2	1	4		7	7	5	6			6	5	4	3	4	4	3	5	5	4	2		R_2QJuvLieRXHotpz	891006
2022-04-13 10:31:36	2022-04-13 10:33:29	0	74.122.57.171	100	112	1	2022-04-13 10:33:29	R_1rH4k1feBxGBHgE					39.0469	-77.4903	anonymous	EN	1	1	1	5	2	1	4	2	2	2	2	2	77	51	3	3	3	4	4	3	4	4	4	2	2		R_1rH4k1feBxGBHgE	727103
2022-04-13 10:30:52	2022-04-13 10:35:08	0	170.39.186.98	100	255	1	2022-04-13 10:35:08	R_2Pwc0yxe4H076kS					39.018	-77.539	anonymous	EN	1	2	1	4	2	2	4	4	3	5	5	4	80	44	4	5	3	2	3	3	2	4	3	4	2		R_2Pwc0yxe4H076kS	778644
2022-04-13 10:31:29	2022-04-13 10:35:18	0	63.161.78.71	100	228	1	2022-04-13 10:35:18	R_2YV661b7x4c5gTI					39.0019	-77.4556	anonymous	EN	1	1	2	2	4	2	4	1	2	4	1	3	53	88	3	1	4	5	4	4	4	5	4	4	1		R_2YV661b7x4c5gTI	449434
2022-04-13 10:33:56	2022-04-13 10:35:50	0	74.111.39.249	100	114	1	2022-04-13 10:35:50	R_1LYdEshI9bJBGIW					43.1115	-76.1834	anonymous	EN	1	2	1	4	3	2	4	4	2	5	1	3	89	11	6	2	4	3	5	5	5	5	3	3	1		R_1LYdEshI9bJBGIW	432796
2022-04-13 10:36:16	2022-04-13 10:37:20	0	185.215.150.214	100	63	1	2022-04-13 10:37:20	R_22nxAMwG1BcOD2G					41.8777	-87.6376	anonymous	EN	1	2	1	2	1	2	4	2	2	4	1	2	72	27	3	2	3	5	4	3	5	4	3	4	2		R_22nxAMwG1BcOD2G	960743
2022-04-13 10:36:24	2022-04-13 10:37:39	0	64.112.85.161	100	74	1	2022-04-13 10:37:39	R_pbcMHjIEZASIVEJ					33.9214	-118.413	anonymous	EN	1	1	1	1	1	2	4	6	4	5	4	5	75	82	5	4	3	4	5	5	4	5	4	2	2		R_pbcMHjIEZASIVEJ	413124
