StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Consent	QID1	Q2	Q3	Q4	Q5	Q6	Q7_1	Q7_2	Q7_3	Q7_4	Q7_5	Q8_1	Q8_2	Q10_1	Q10_2	Q12_1	Q12_2	Q12_3	Q13_1	Q13_2	Q13_3	Q13_4	Q14	Q15	Q16	ResponseID	RandomID
2022-04-17 9:08:41	2022-04-17 9:10:03	0	208.207.188.152	100	82	1	2022-04-17 9:10:04	R_3qR1sKK5PgGjtwa					40.5978	-74.0001	anonymous	EN	1	1	2	1	2	2	4	1	2	2	1	2	69	92	4	2	2	4	2	2	3	2	2	3	2		R_3qR1sKK5PgGjtwa	391531
2022-04-17 9:10:24	2022-04-17 9:12:03	0	208.207.188.152	100	99	1	2022-04-17 9:12:03	R_egKJpZodZIqouwF					40.5978	-74.0001	anonymous	EN	1	1	2	1	2	2	4	1	3	2	2	2	80	91	1	2	5	5		5		5	5	5	2		R_egKJpZodZIqouwF	445381
2022-04-17 9:08:25	2022-04-17 9:12:31	0	208.218.229.57	100	245	1	2022-04-17 9:12:31	R_2xDnf3Ik23zNOkS					40.5175	-74.3991	anonymous	EN	1	2	1	2	2	1	5	2	1	4	1	2	92	71	3	2	5	5	5	5	5	5	5	2	1		R_2xDnf3Ik23zNOkS	373128
2022-04-17 9:06:01	2022-04-17 9:12:39	0	71.230.6.27	100	398	1	2022-04-17 9:12:40	R_24MEdK5bFPR51bC					40.0172	-75.0883	anonymous	EN	1	1	1	5	3	2	2	1	3	7	1	4	72	1	7	4	4	5	5	4	5	5	4	4	3		R_24MEdK5bFPR51bC	650448
2022-04-17 9:07:31	2022-04-17 9:12:52	0	107.202.185.169	100	321	1	2022-04-17 9:12:53	R_3npePtBOhI5vRUq					41.8879	-88.1995	anonymous	EN	1	2	1	4	2	2	4	2	5	4	1	3	85	5	5	3	4	4	5	3	5	4	3	4	2		R_3npePtBOhI5vRUq	916908
2022-04-17 9:08:47	2022-04-17 9:13:21	0	98.226.108.16	100	274	1	2022-04-17 9:13:21	R_1n9Dbasu8OEhdEY					42.0128	-88.0967	anonymous	EN	1	1	3	4	2	2	5	3	7	6	2	4	66	28	5	4	4	2	5	5	2	4	1	2	3		R_1n9Dbasu8OEhdEY	648134
2022-04-17 9:07:11	2022-04-17 9:16:07	0	50.231.89.126	100	536	1	2022-04-17 9:16:08	R_3EhH1FteaxuZiem					38.9512	-76.4944	anonymous	EN	1	1	1	5	4	1	4	4	4	4	4	4	77	60	3	4	3	3	2	2	3	3	3	2	2		R_3EhH1FteaxuZiem	391766
2022-04-17 9:07:35	2022-04-17 9:16:43	0	208.218.231.152	100	547	1	2022-04-17 9:16:43	R_2bJeU5WgPyoN1EV					39.9703	-75.0617	anonymous	EN	1	3	1	2	4	1	4	1	1	1	1	3	86	66	2	4	5	4	2	5	4	3	4	2	2		R_2bJeU5WgPyoN1EV	690888
2022-04-17 9:11:53	2022-04-17 9:16:49	0	67.244.48.61	100	296	1	2022-04-17 9:16:50	R_2fv5BZtWiTSYjxb					43.6842	-70.2816	anonymous	EN	1	2	1	4	2	1	4	6	2	4	2	4	69	32	5	4	3	2	5	4	5	4	4	2	2		R_2fv5BZtWiTSYjxb	695758
2022-04-17 9:05:45	2022-04-17 9:18:52	0	75.41.166.226	100	786	1	2022-04-17 9:18:52	R_ypF4Bu2VCdkDHPj					35.2804	-98.9474	anonymous	EN	1	1	2	1	2	1	4	4	7	7	3	4	25	80	2	5	2	1	3	4	1	1	1	1	3		R_ypF4Bu2VCdkDHPj	202270
2022-04-17 9:15:46	2022-04-17 9:20:03	0	208.218.229.57	100	257	1	2022-04-17 9:20:04	R_27UciaLIddPhPfq					40.5175	-74.3991	anonymous	EN	1	1	1	4	2	1	5	1	2	4	1	2	90	71	3	2	5	4	3	4	5	4	4	2	1		R_27UciaLIddPhPfq	623866
2022-04-17 9:13:07	2022-04-17 9:20:07	0	202.182.65.7	100	420	1	2022-04-17 9:20:08	R_2wdIax7eFvZpeJo					40.7683	-73.9802	anonymous	EN	1	2	2	2	2	2	5	7	5	6	4	3	65	42	5	6	5	3	4	4	2	5	4	3	3		R_2wdIax7eFvZpeJo	986916
2022-04-17 9:06:36	2022-04-17 9:22:34	0	104.244.145.154	100	957	1	2022-04-17 9:22:34	R_3fry3oVDN2C7DNO					32.3164	-85.8861	anonymous	EN	1	4	3	3	3	1	2	5	5	7	5	4	0	0	4	6	3	1	1	5	1	1	1	3	4		R_3fry3oVDN2C7DNO	770805
2022-04-17 9:15:21	2022-04-17 9:24:44	0	24.144.191.224	100	563	1	2022-04-17 9:24:45	R_2cAe15W5iEwFBhZ					38.3838	-82.4992	anonymous	EN	1	1	1	4	3	1	3	1	4	7	1	7	80	10	7	2	2	4	5	4	5	3	1	2	2		R_2cAe15W5iEwFBhZ	880050
2022-04-17 9:08:19	2022-04-17 9:27:31	0	207.244.71.80	100	1152	1	2022-04-17 9:27:32	R_2t9TkwlANc4jaMk					39.715	-75.6178	anonymous	EN	1	2	1	1	3	2	4	2	5	4	1	5	90	45	1	1	1	1	3	5	5	5	3	5	2		R_2t9TkwlANc4jaMk	958385
2022-04-17 9:23:35	2022-04-17 9:30:14	0	67.48.120.80	100	398	1	2022-04-17 9:30:14	R_3s5QsCoC0Kcr8TS					37.0954	-81.8116	anonymous	EN	1	3	3	3	3	1	2	1	7	7	7	7	50	50	4	4	3	3	3	3	3	3	3	3	2		R_3s5QsCoC0Kcr8TS	213075
2022-04-17 9:34:15	2022-04-17 9:38:57	0	108.202.77.206	100	281	1	2022-04-17 9:39:01	R_1dNA1H6JiDpev43					38.1043	-122.2442	anonymous	EN	1	2	2	1	4	2	2	2	6	1	1	4	0	80	2	5	4	4	5	2	1	3	2	1	4		R_1dNA1H6JiDpev43	522358
2022-04-17 9:09:09	2022-04-17 9:39:12	0	161.35.139.79	100	1802	1	2022-04-17 9:39:12	R_2Tu8Ojff3pNgdPL					40.8364	-74.1403	anonymous	EN	1	1	1	4	2	2	4	1	6	3	1	2	88	60	4	4	3	4	4	5	5	3	5	2	2		R_2Tu8Ojff3pNgdPL	215734
2022-04-17 9:37:48	2022-04-17 9:39:22	0	72.221.115.167	100	93	1	2022-04-17 9:39:22	R_1LvYYOts5YW6QrB					41.886	-71.3457	anonymous	EN	1	2	2	3	2	2	4	2	1	4	2	2	66	42	5	4	4	3	3	4	3	2	4	3	3		R_1LvYYOts5YW6QrB	255200
2022-04-17 9:29:58	2022-04-17 9:40:31	0	73.88.177.255	100	633	1	2022-04-17 9:40:32	R_1IgTMhmE4j9ArPI					35.8451	-86.4901	anonymous	EN	1	1	1	1	2	2	4	2	1	1	1	2	90	64	3	1	3	5	4	5	5	4	5	4	2		R_1IgTMhmE4j9ArPI	195378
2022-04-17 9:07:28	2022-04-17 9:41:30	0	208.218.225.25	100	2041	1	2022-04-17 9:41:30	R_3RkJb5dfEDqLZ2s					40.8023	-73.7329	anonymous	EN	1	2	1	3	2	2	4	1	1		1	1	80	65	5	3	5	5	5	5	4	5	2	3	2		R_3RkJb5dfEDqLZ2s	934196
