StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Consent	SurveyCode	QID1	Q2	Q3	Q4	Q5	Q6	Q7_1	Q7_2	Q7_3	Q7_4	Q7_5	Q8_1	Q8_2	Q10_1	Q10_2	Q12_1	Q12_2	Q12_3	Q13_1	Q13_2	Q13_3	Q13_4	Q14	Q15	Q16	ResponseID	RandomID
2022-04-19 14:52:40	2022-04-19 14:53:31	1		100	51	1	2022-04-19 14:53:33	R_1MKU30czlYHZIRx					40.7359	-73.9904	preview	EN	1	tft_ic0	3	2	4	5	4	2	7	7	6	7				5	6	4	3	4	4	3	4	5	2	3		R_1MKU30czlYHZIRx	492544
2022-04-25 19:53:47	2022-04-25 19:58:16	0	73.131.133.185	100	268	1	2022-04-25 19:58:16	R_AvXZNLF0MHCmxfb					32.9918	-80.1187	anonymous	EN	1	tft_ic0_AM65LGXJBTJ0I	3	1	5	2	2	2	6	6	4	1	4	65	35	4	3	2	4	2	4	5	4	1	3	2		R_AvXZNLF0MHCmxfb	793301
2022-04-25 19:54:15	2022-04-25 19:58:31	0	70.179.46.77	100	256	1	2022-04-25 19:58:31	R_We4nrRG5rE286KB					32.7638	-117.07	anonymous	EN	1	tft_ic0_ADIXVUPICNIY4	3	1	4	2	2	2	4	6	4	2	3	74	33	6	3	4	2	4	5	5	5	2	2	2		R_We4nrRG5rE286KB	342558
2022-04-25 19:57:01	2022-04-25 20:02:18	0	52.128.53.190	100	317	1	2022-04-25 20:02:18	R_aWuhC9unnvNRyKd					32.7822	-97.4969	anonymous	EN	1	tft_ic0_A3I40B0FATY8VH	1	2	1	2	2	2	2	4	6	1	1	0	90	1	7	5	5	5	1	1	1	1	1	4		R_aWuhC9unnvNRyKd	763795
2022-04-25 19:53:20	2022-04-25 20:02:29	0	180.191.144.8	100	548	1	2022-04-25 20:02:29	R_Rn15Lv8GcY5C9Mt					7.0712	125.6089	anonymous	EN	1	tft_ic0_ALZVG5501Y5IX	1	2	2	1	2	4	1	1	2	1	2	41	70	4	4	4	4	4	4	5	5	2	2	2		R_Rn15Lv8GcY5C9Mt	877286
2022-04-25 19:57:12	2022-04-25 20:04:11	0	73.160.14.40	100	419	1	2022-04-25 20:04:12	R_1CvFxmKZoAl4Ryk					40.5833	-74.277	anonymous	EN	1	tft_ic0_ADJ9I7ZBFYFH7	2	3	5	2	2	2	4	7	7	1	3	45	10	7	4	2	4	5	5	5	5	1	2	3		R_1CvFxmKZoAl4Ryk	353473
2022-04-25 20:03:10	2022-04-25 20:07:25	0	173.170.197.182	100	254	1	2022-04-25 20:07:25	R_2ayNfnXvsQYiic5					28.3836	-82.511	anonymous	EN	1	tft_ic0_A107RJSS561Y7R	1	2	2	3	2	2	7	6	5	1	2	39	61	4	5	4	4	5	3	4	3	1	2	3		R_2ayNfnXvsQYiic5	285850
2022-04-25 20:13:55	2022-04-25 20:21:25	0	107.77.169.60	100	449	1	2022-04-25 20:21:25	R_2b1tx3sd8PX8nRD					29.7545	-95.4093	anonymous	EN	1	tft_ic0_A2Y0WNHMT4PZ4C	2	2	2	4	2	2	2	2	2	1	2	0	80	1	5	4	4	5	1	1	1	1	1	4		R_2b1tx3sd8PX8nRD	830027
2022-04-25 20:08:43	2022-04-25 20:27:49	0	76.176.170.139	100	1146	1	2022-04-25 20:27:50	R_0xkbYaXzLJgWIsV					34.1027	-118.2231	anonymous	EN	1	tft_ic0_A2RBF3IIJP15IH	4	1	4	3	2	4	7	7	7	3	5	68	33	7	4	5	2	5	5	5	5	3	2	4		R_0xkbYaXzLJgWIsV	425875
2022-04-25 21:20:04	2022-04-25 21:24:05	0	73.140.179.53	100	241	1	2022-04-25 21:24:06	R_24FP4Ux3RyPtIlg					47.3121	-122.3661	anonymous	EN	1	tft_ic0_A2CK0OXMPOR9LE	4	1	4	2	2	4	7	7	7	2	6	65	25	5	4	4	2	3	4	3	4		3	3		R_24FP4Ux3RyPtIlg	397922
