username	ideo	id	followers_count	rank
nytimes	-0.9152676789	807095	54812602	1
wsj	-0.1648862529	3108351	20407581	2
washingtonpost	-0.3720803227	2467791	19971733	3
time	-0.5411576463	14293310	19436259	4
abc	-0.292026698	28785486	17773119	5
npr	-0.588448441	5392522	8887132	6
cbsnews	-0.3478818028	15012486	8866727	7
seanhannity	-0.01181802785	41634520	6278430	8
usatoday	-0.7520660023	15754281	4914537	9
latimes	-0.5654860509	16664681	3995855	10
newsweek	-0.4841215864	2884771	3585248	11
nprpolitics	-0.7102437725	5741722	3012542	12
megynkelly	-0.5967432511	110445334	2685567	13
ezraklein	-0.3012126401	18622869	2656279	14
gstephanopoulos	-0.0869477783	17074440	2374638	15
nytimesworld	-0.3741949705	1877831	2203018	16
chucktodd	-0.6430112571	50325797	2064434	17
nickkristof	-0.5274785629	17004618	1964052	18
mitchellreports	-0.4079921357	89820928	1928584	19
lara	-0.6981338677	21481343	1697668	20
senfeinstein	-0.9707667308	476256944	1453090	21
barbarajwalters	-0.5906353141	33514869	1431701	22
thedailybeast	-0.5925518165	16012783	1381952	23
pogue	-0.5318333732	9534522	1280669	24
hodakotb	-0.1867657706	25321854	1279793	25
yamiche	-0.6638895773	89887215	1207317	26
thelastword	-0.7602884403	182503471	1081260	27
nprscottsimon	-0.5394327753	20245775	1038979	28
jerrybrowngov	-0.9515507049	19418459	1028824	29
savannahguthrie	-0.59898741	52070270	964931	30
johndonvan	-0.3588167018	20067354	945011	31
andrewrsorkin	-0.4278250179	33792634	929517	32
nytimesbusiness	-0.8200854384	1754641	858283	33
waltmossberg	-0.419587763	5746452	840233	34
nytopinion	-0.6917305503	16686144	809264	35
davidmuir	-0.3668547803	56223278	796758	36
brianstelter	-0.598778174	14515799	786925	37
marthamaccallum	-0.1229035036	46681100	780436	38
jennydeluxe	-0.6596778775	10454572	689248	39
thereval	-0.6112119717	42389136	659958	40
shannonbream	-0.5966006108	18983793	658799	41
kasie	-0.01159264795	12354832	624246	42
richardengel	-0.04462571664	47438401	600592	43
senatorcollins	-0.3169269476	19726613	558511	44
clarissaward	-0.2172188178	22760252	516380	45
ronwyden	-0.9052898469	250188760	513954	46
markwarner	-0.7153986673	7429102	498984	47
washtimes	-0.379738566	14662354	444418	48
usatodaymoney	-0.2912756227	15764136	439329	49
senbobcasey	-0.9645745797	171598736	436198	50
ashleyrparker	-0.1080288961	33919343	419374	51
kwelkernbc	-0.4936556991	297532865	417542	52
postpolitics	-0.5724212529	14345062	402857	53
tamronhall	-0.4184343443	21228708	397634	54
cbseveningnews	-0.2188574623	42958829	397111	55
nprinskeep	-0.754474129	115710058	382375	56
